"","PFC","Subcortical","COMT.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"393","Dorsal_ACC","Putamen",-1.073,0.006,0,0.433528711560315,0.027641198755506,0.378246314049303,0.488811109071327,0.189627764279421,0.677429658841208
"394","InferiorFrontalGyrus","Putamen",-1.073,0.006,0,0.344272242163319,0.0276411987555058,0.288989844652308,0.399554639674331,0.100371294882426,0.588173189444213
"395","Lateral_OFC","Putamen",-1.073,0.006,0,0.253086952683917,0.0276411987555058,0.197804555172905,0.308369350194928,0.00918600540302333,0.49698789996481
"396","Medial_OFC","Putamen",-1.073,0.006,0,0.241740346849252,0.0276411987555058,0.18645794933824,0.297022744360264,-0.00216060043164124,0.485641294130145
"397","MiddleFrontalGyrus","Putamen",-1.073,0.006,0,0.206897463975058,0.0276411987555058,0.151615066464046,0.26217986148607,-0.0370034833058354,0.450798411255951
"398","SuperiorFrontalGyrus","Putamen",-1.073,0.006,0,0.276671659382179,0.0276411987555058,0.221389261871168,0.331954056893191,0.0327707121012859,0.520572606663073
"399","Ventral_ACC","Putamen",-1.073,0.006,0,0.289533467883271,0.0276411987555058,0.23425107037226,0.344815865394283,0.0456325206023779,0.533434415164165
"400","Dorsal_ACC","Accum",-0.073,0.006,0,0.289739298853863,0.0153821432917018,0.258975012270459,0.320503585437266,0.050202308100999,0.529276289606726
"401","InferiorFrontalGyrus","Accum",-0.073,0.006,0,0.201189411155041,0.0153821432917019,0.170425124571637,0.231953697738445,-0.0383475795978228,0.440726401907904
"402","Lateral_OFC","Accum",-0.073,0.006,0,0.200967152427667,0.0153821432917019,0.170202865844263,0.231731439011071,-0.0385698383251966,0.44050414318053
"403","Medial_OFC","Accum",-0.073,0.006,0,0.241239392192202,0.0153821432917019,0.210475105608799,0.272003678775606,0.00170240143933886,0.480776382945066
"404","MiddleFrontalGyrus","Accum",-0.073,0.006,0,0.150458132077373,0.0153821432917019,0.119693845493969,0.181222418660777,-0.0890788586754907,0.389995122830236
"405","SuperiorFrontalGyrus","Accum",-0.073,0.006,0,0.20747445397748,0.0153821432917019,0.176710167394076,0.238238740560884,-0.0320625367753833,0.447011444730344
"406","Ventral_ACC","Accum",-0.073,0.006,0,0.346171956173496,0.0153821432917019,0.315407669590092,0.3769362427569,0.106634965420632,0.585708946926359
