"","PFC","Subcortical","CompositeRecoded.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"126","Ventral_ACC","Putamen",1.327,-0.015,0,0.333278123265676,0.048648746003076,0.235980631259524,0.430575615271828,0.0813287487429488,0.585227497788403
"127","Dorsal_ACC","Accum",-1.173,-0.012,0,0.216320269747085,0.0375836488127699,0.141152972121545,0.291487567372625,-0.0279373974898572,0.460577936984027
"128","InferiorFrontalGyrus","Accum",-1.173,-0.012,0,0.126684946713053,0.0375836488127662,0.0515176490875211,0.201852244338586,-0.117572720523886,0.370942613949993
"129","Lateral_OFC","Accum",-1.173,-0.012,0,0.147507356187054,0.0375836488127662,0.0723400585615212,0.222674653812586,-0.0967503110498862,0.391765023423993
"130","Medial_OFC","Accum",-1.173,-0.012,0,0.212265396878578,0.0375836488127663,0.137098099253045,0.28743269450411,-0.0319922703583623,0.456523064115517
"131","MiddleFrontalGyrus","Accum",-1.173,-0.012,0,0.10213232580545,0.0375836488127662,0.0269650281799172,0.177299623430982,-0.14212534143149,0.346389993042389
"132","SuperiorFrontalGyrus","Accum",-1.173,-0.012,0,0.151719400747606,0.0375836488127662,0.0765521031220733,0.226886698373138,-0.0925382664893341,0.395977067984545
"133","Ventral_ACC","Accum",-1.173,-0.012,0,0.285293446803136,0.0375836488127664,0.210126149177603,0.360460744428669,0.0410357795661962,0.529551114040076
"134","Dorsal_ACC","Caudate",-1.173,-0.012,0,0.274106395218995,0.0375836488127661,0.198939097593463,0.349273692844527,0.0298487279820551,0.518364062455934
"135","InferiorFrontalGyrus","Caudate",-1.173,-0.012,0,0.178527083664751,0.0375836488127663,0.103359786039218,0.253694381290283,-0.0657305835721891,0.42278475090169
"136","Lateral_OFC","Caudate",-1.173,-0.012,0,0.19919701428342,0.0375836488127663,0.124029716657887,0.274364311908952,-0.04506065295352,0.44345468152036
"137","Medial_OFC","Caudate",-1.173,-0.012,0,0.175017198859749,0.0375836488127663,0.0998499012342166,0.250184496485282,-0.0692404683771906,0.419274866096689
"138","MiddleFrontalGyrus","Caudate",-1.173,-0.012,0,0.163649921341854,0.0375836488127663,0.0884826237163212,0.238817218967386,-0.080607745895086,0.407907588578794
"139","SuperiorFrontalGyrus","Caudate",-1.173,-0.012,0,0.209331402013339,0.0375836488127663,0.134164104387806,0.284498699638872,-0.0349262652236009,0.453589069250279
"140","Ventral_ACC","Caudate",-1.173,-0.012,0,0.296727716592122,0.0375836488127663,0.221560418966589,0.371895014217654,0.0524700493551819,0.540985383829061
"141","Dorsal_ACC","Putamen",-1.173,-0.012,0,0.349222913144314,0.0375836488127661,0.274055615518782,0.424390210769846,0.104965245907374,0.593480580381254
"142","InferiorFrontalGyrus","Putamen",-1.173,-0.012,0,0.238670544145817,0.0375836488127663,0.163503246520284,0.313837841771349,-0.00558712309112305,0.482928211382757
"143","Lateral_OFC","Putamen",-1.173,-0.012,0,0.179843591672637,0.0375836488127663,0.104676294047104,0.25501088929817,-0.0644140755643028,0.424101258909577
