"","PFC","Subcortical","MAOA.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"462","Ventral_ACC","Putamen",-1.273,0.012,0,0.238136294762585,0.031431560723671,0.175273173315243,0.300999416209927,-0.00182016665670914,0.47809275618188
"463","Dorsal_ACC","Accum",-0.273,0.012,0,0.292213491326902,0.0183212323375607,0.255571026651781,0.328855956002024,0.0577566689560583,0.526670313697747
"464","InferiorFrontalGyrus","Accum",-0.273,0.012,0,0.206721648882029,0.0183212323375605,0.170079184206908,0.24336411355715,-0.0277351734888151,0.441178471252873
"465","Lateral_OFC","Accum",-0.273,0.012,0,0.200214216033712,0.0183212323375605,0.163571751358591,0.236856680708833,-0.0342426063371322,0.434671038404556
"466","Medial_OFC","Accum",-0.273,0.012,0,0.244734825083822,0.0183212323375605,0.208092360408701,0.281377289758942,0.0102780027129774,0.479191647454666
"467","MiddleFrontalGyrus","Accum",-0.273,0.012,0,0.148234926988386,0.0183212323375605,0.111592462313265,0.184877391663507,-0.0862218953824583,0.38269174935923
"468","SuperiorFrontalGyrus","Accum",-0.273,0.012,0,0.209084110150625,0.0183212323375605,0.172441645475504,0.245726574825746,-0.025372712220219,0.443540932521469
"469","Ventral_ACC","Accum",-0.273,0.012,0,0.347419880404757,0.0183212323375605,0.310777415729636,0.384062345079878,0.112963058033913,0.581876702775601
"470","Dorsal_ACC","Caudate",-0.273,0.012,0,0.328519344675419,0.0183212323375605,0.291876880000298,0.36516180935054,0.0940625223045748,0.562976167046263
"471","InferiorFrontalGyrus","Caudate",-0.273,0.012,0,0.27911054343244,0.0183212323375605,0.242468078757319,0.315753008107561,0.0446537210615961,0.513567365803284
"472","Lateral_OFC","Caudate",-0.273,0.012,0,0.252237218496298,0.0183212323375605,0.215594753821177,0.288879683171419,0.0177803961254538,0.486694040867142
"473","Medial_OFC","Caudate",-0.273,0.012,0,0.206460411884265,0.0183212323375605,0.169817947209144,0.243102876559386,-0.0279964104865788,0.44091723425511
"474","MiddleFrontalGyrus","Caudate",-0.273,0.012,0,0.221954608673831,0.0183212323375605,0.18531214399871,0.258597073348952,-0.0125022136970132,0.456411431044675
"475","SuperiorFrontalGyrus","Caudate",-0.273,0.012,0,0.272079529347767,0.0183212323375605,0.235437064672646,0.308721994022888,0.0376227069769232,0.506536351718612
"476","Ventral_ACC","Caudate",-0.273,0.012,0,0.334741869207823,0.0183212323375606,0.298099404532702,0.371384333882944,0.100285046836978,0.569198691578667
"477","Dorsal_ACC","Putamen",-0.273,0.012,0,0.452168295546991,0.0183212323375605,0.41552583087187,0.488810760222113,0.217711473176147,0.686625117917836
"478","InferiorFrontalGyrus","Putamen",-0.273,0.012,0,0.352178394418405,0.0183212323375605,0.315535929743284,0.388820859093526,0.117721572047561,0.586635216789249
"479","Lateral_OFC","Putamen",-0.273,0.012,0,0.251659760573719,0.0183212323375605,0.215017295898598,0.28830222524884,0.0172029382028746,0.486116582944563
"480","Medial_OFC","Putamen",-0.273,0.012,0,0.225107002927024,0.0183212323375605,0.188464538251903,0.261749467602145,-0.00934981944382027,0.459563825297868
