"","PFC","Subcortical","DAT1.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"180","MiddleFrontalGyrus","Caudate",-0.5,-0.003,0,0.182361884635894,0.0232697555757906,0.135822373484313,0.228901395787475,-0.0581577596237358,0.422881528895524
"181","SuperiorFrontalGyrus","Caudate",-0.5,-0.003,0,0.220492052041302,0.0232697555757906,0.17395254088972,0.267031563192883,-0.0200275922183285,0.461011696300932
"182","Ventral_ACC","Caudate",-0.5,-0.003,0,0.286872914550078,0.0232697555757906,0.240333403398496,0.333412425701659,0.0463532702904475,0.527392558809708
"183","Dorsal_ACC","Putamen",-0.5,-0.003,0,0.431792893449232,0.0232697555757905,0.385253382297651,0.478332404600813,0.191273249189602,0.672312537708862
"184","InferiorFrontalGyrus","Putamen",-0.5,-0.003,0,0.316929905601632,0.0232697555757906,0.270390394450051,0.363469416753213,0.076410261342002,0.557449549861262
"185","Lateral_OFC","Putamen",-0.5,-0.003,0,0.224776547927238,0.0232697555757906,0.178237036775656,0.271316059078819,-0.0157430963323925,0.465296192186868
"186","Medial_OFC","Putamen",-0.5,-0.003,0,0.203409541755905,0.0232697555757906,0.156870030604324,0.249949052907486,-0.0371101025037248,0.443929186015535
"187","MiddleFrontalGyrus","Putamen",-0.5,-0.003,0,0.169140750120981,0.0232697555757906,0.122601238969399,0.215680261272562,-0.0713788941386495,0.409660394380611
"188","SuperiorFrontalGyrus","Putamen",-0.5,-0.003,0,0.236849806121583,0.0232697555757906,0.190310294970002,0.283389317273164,-0.00366983813804708,0.477369450381213
"189","Ventral_ACC","Putamen",-0.5,-0.003,0,0.273711052849973,0.0232697555757906,0.227171541698392,0.320250564001554,0.0331914085903429,0.514230697109603
"190","Dorsal_ACC","Accum",0.5,-0.003,0,0.291424531338269,0.0222675436897448,0.24688944395878,0.335959618717759,0.0512846821160928,0.531564380560446
"191","InferiorFrontalGyrus","Accum",0.5,-0.003,0,0.199315416855459,0.022267543689743,0.154780329475973,0.243850504234946,-0.0408244323667163,0.439455266077635
"192","Lateral_OFC","Accum",0.5,-0.003,0,0.21124268842523,0.022267543689743,0.166707601045744,0.255777775804716,-0.0288971607969456,0.451382537647406
"193","Medial_OFC","Accum",0.5,-0.003,0,0.236704207473683,0.022267543689743,0.192169120094197,0.28123929485317,-0.00343564174849231,0.476844056695859
"194","MiddleFrontalGyrus","Accum",0.5,-0.003,0,0.155888312405411,0.022267543689743,0.111353225025925,0.200423399784897,-0.0842515368167646,0.396028161627587
"195","SuperiorFrontalGyrus","Accum",0.5,-0.003,0,0.212209959309219,0.022267543689743,0.167674871929733,0.256745046688705,-0.027929889912957,0.452349808531395
"196","Ventral_ACC","Accum",0.5,-0.003,0,0.348395160549313,0.022267543689743,0.303860073169827,0.392930247928799,0.108255311327137,0.588535009771489
"197","Dorsal_ACC","Caudate",0.5,-0.003,0,0.312275690803345,0.0222675436897431,0.267740603423859,0.356810778182831,0.0721358415811694,0.552415540025521
"198","InferiorFrontalGyrus","Caudate",0.5,-0.003,0,0.242001936548477,0.0222675436897432,0.19746684916899,0.286537023927963,0.00186208732630078,0.482141785770652
"199","Lateral_OFC","Caudate",0.5,-0.003,0,0.231228625958172,0.0222675436897432,0.186693538578685,0.275763713337658,-0.00891122326400404,0.471368475180348
"200","Medial_OFC","Caudate",0.5,-0.003,0,0.190469002632406,0.0222675436897432,0.145933915252919,0.235004090011892,-0.0496708465897703,0.430608851854581
"201","MiddleFrontalGyrus","Caudate",0.5,-0.003,0,0.201129833569552,0.0222675436897432,0.156594746190065,0.245664920949038,-0.0390100156526242,0.441269682791727
"202","SuperiorFrontalGyrus","Caudate",0.5,-0.003,0,0.253331272228233,0.0222675436897432,0.208796184848746,0.297866359607719,0.0131914230060567,0.493471121450408
"203","Ventral_ACC","Caudate",0.5,-0.003,0,0.308721226025441,0.0222675436897432,0.264186138645954,0.353256313404927,0.0685813768032649,0.548861075247617
"204","Dorsal_ACC","Putamen",0.5,-0.003,0,0.458416895927357,0.0222675436897431,0.413881808547871,0.502951983306843,0.218277046705181,0.698556745149533
"205","InferiorFrontalGyrus","Putamen",0.5,-0.003,0,0.346231185658966,0.0222675436897432,0.30169609827948,0.390766273038453,0.10609133643679,0.586371034881142
"206","Lateral_OFC","Putamen",0.5,-0.003,0,0.251536640440294,0.0222675436897432,0.207001553060808,0.296071727819781,0.0113967912181186,0.49167648966247
"207","Medial_OFC","Putamen",0.5,-0.003,0,0.20857189432607,0.0222675436897432,0.164036806946583,0.253106981705556,-0.0315679548961061,0.448711743548246
"208","MiddleFrontalGyrus","Putamen",0.5,-0.003,0,0.201612584379434,0.0222675436897432,0.157077496999948,0.246147671758921,-0.0385272648427414,0.44175243360161
"209","SuperiorFrontalGyrus","Putamen",0.5,-0.003,0,0.273313827217515,0.0222675436897432,0.228778739838029,0.317848914597001,0.0331739779953391,0.513453676439691
"210","Ventral_ACC","Putamen",0.5,-0.003,0,0.292995228255542,0.0222675436897432,0.248460140876055,0.337530315635028,0.0528553790333659,0.533135077477717
"211","Dorsal_ACC","Accum",-0.5,0.002,0,0.255525953821669,0.0210909440021926,0.213344065817283,0.297707841826054,0.0158113634184866,0.495240544224851
"212","InferiorFrontalGyrus","Accum",-0.5,0.002,0,0.181283022044626,0.0210909440021906,0.139101134040245,0.223464910049007,-0.0584315683585553,0.420997612447807
"213","Lateral_OFC","Accum",-0.5,0.002,0,0.181697630496412,0.0210909440021906,0.139515742492031,0.223879518500793,-0.0580169599067692,0.421412220899594
"214","Medial_OFC","Accum",-0.5,0.002,0,0.223321622033399,0.0210909440021906,0.181139734029018,0.26550351003778,-0.0163929683697825,0.46303621243658
"215","MiddleFrontalGyrus","Accum",-0.5,0.002,0,0.133618804502208,0.0210909440021906,0.0914369164978272,0.17580069250659,-0.106095785900973,0.37333339490539
"216","SuperiorFrontalGyrus","Accum",-0.5,0.002,0,0.185292102236588,0.0210909440021906,0.143110214232207,0.227473990240969,-0.0544224881665933,0.42500669263977
"217","Ventral_ACC","Accum",-0.5,0.002,0,0.321000336734982,0.0210909440021906,0.278818448730601,0.363182224739363,0.0812857463318006,0.560714927138163
"218","Dorsal_ACC","Caudate",-0.5,0.002,0,0.286364659357938,0.0210909440021907,0.244182771353557,0.328546547362319,0.0466500689547567,0.526079249761119
"219","InferiorFrontalGyrus","Caudate",-0.5,0.002,0,0.234441262861841,0.0210909440021907,0.192259374857459,0.276623150866222,-0.00527332754134058,0.474155853265022
"220","Lateral_OFC","Caudate",-0.5,0.002,0,0.2268653679769,0.0210909440021908,0.184683479972519,0.269047255981282,-0.0128492224262812,0.466579958380082
"221","Medial_OFC","Caudate",-0.5,0.002,0,0.181919457585829,0.0210909440021907,0.139737569581448,0.224101345590211,-0.0577951328173524,0.42163404798901
"222","MiddleFrontalGyrus","Caudate",-0.5,0.002,0,0.197030310954802,0.0210909440021908,0.154848422950421,0.239212198959184,-0.0426842794483791,0.436744901357984
"223","SuperiorFrontalGyrus","Caudate",-0.5,0.002,0,0.238305128183616,0.0210909440021907,0.196123240179234,0.280487016187997,-0.00140946221956567,0.478019718586797
"224","Ventral_ACC","Caudate",-0.5,0.002,0,0.302948338373573,0.0210909440021907,0.260766450369191,0.345130226377954,0.0632337479703915,0.542662928776754
"225","Dorsal_ACC","Putamen",-0.5,0.002,0,0.44007388583842,0.0210909440021907,0.397891997834038,0.482255773842801,0.200359295435238,0.679788476241601
"226","InferiorFrontalGyrus","Putamen",-0.5,0.002,0,0.331156927234121,0.0210909440021907,0.288975039229739,0.373338815238502,0.0914423368309393,0.570871517637302
"227","Lateral_OFC","Putamen",-0.5,0.002,0,0.232831370987977,0.0210909440021907,0.190649482983596,0.275013258992359,-0.00688321941520426,0.472545961391159
"228","Medial_OFC","Putamen",-0.5,0.002,0,0.210834324522838,0.0210909440021908,0.168652436518457,0.25301621252722,-0.0288802658803432,0.45054891492602
"229","MiddleFrontalGyrus","Putamen",-0.5,0.002,0,0.17767166138268,0.0210909440021907,0.135489773378298,0.219853549387061,-0.0620429290205015,0.417386251785861
"230","SuperiorFrontalGyrus","Putamen",-0.5,0.002,0,0.248482274037113,0.0210909440021907,0.206300386032732,0.290664162041495,0.00876768363393166,0.488196864440294
"231","Ventral_ACC","Putamen",-0.5,0.002,0,0.280057383326714,0.0210909440021907,0.237875495322332,0.322239271331095,0.0403427929235323,0.519771973729895
"232","Dorsal_ACC","Accum",0.5,0.002,0,0.305848427515193,0.0212124665397846,0.263423494435624,0.348273360594762,0.0660909497937319,0.545605905236654
"233","InferiorFrontalGyrus","Accum",0.5,0.002,0,0.209412471077776,0.0212124665397826,0.166987537998211,0.251837404157342,-0.0303450066436836,0.449169948799237
"234","Lateral_OFC","Accum",0.5,0.002,0,0.21574776373819,0.0212124665397826,0.173322830658625,0.258172696817755,-0.02400971398327,0.45550524145965
"235","Medial_OFC","Accum",0.5,0.002,0,0.248282519155203,0.0212124665397826,0.205857586075638,0.290707452234769,0.00852504143374336,0.488039996876664
"236","MiddleFrontalGyrus","Accum",0.5,0.002,0,0.160618268492392,0.0212124665397826,0.118193335412827,0.203043201571958,-0.0791392092290676,0.400375746213853
"237","SuperiorFrontalGyrus","Accum",0.5,0.002,0,0.219875830753494,0.0212124665397826,0.177450897673929,0.262300763833059,-0.019881646967966,0.459633308474954
"238","Ventral_ACC","Accum",0.5,0.002,0,0.359266262464349,0.0212124665397826,0.316841329384784,0.401691195543914,0.119508784742889,0.599023740185809
"239","Dorsal_ACC","Caudate",0.5,0.002,0,0.334767013157272,0.0212124665397826,0.292342080077707,0.377191946236838,0.0950095354358124,0.574524490878733
"240","InferiorFrontalGyrus","Caudate",0.5,0.002,0,0.256120367979919,0.0212124665397827,0.213695434900354,0.298545301059484,0.0163628902584589,0.495877845701379
"241","Lateral_OFC","Caudate",0.5,0.002,0,0.238057149854928,0.0212124665397827,0.195632216775363,0.280482082934494,-0.00170032786653196,0.477814627576388
"242","Medial_OFC","Caudate",0.5,0.002,0,0.199052122446668,0.0212124665397827,0.156627189367103,0.241477055526234,-0.040705355274792,0.438809600168128
"243","MiddleFrontalGyrus","Caudate",0.5,0.002,0,0.210371339447562,0.0212124665397827,0.167946406367997,0.252796272527128,-0.0293861382738979,0.450128817169022
"244","SuperiorFrontalGyrus","Caudate",0.5,0.002,0,0.264663527296278,0.0212124665397827,0.222238594216713,0.307088460375844,0.0249060495748183,0.504421005017739
"245","Ventral_ACC","Caudate",0.5,0.002,0,0.321320007788704,0.0212124665397827,0.278895074709138,0.363744940868269,0.0815625300672436,0.561077485510164
"246","Dorsal_ACC","Putamen",0.5,0.002,0,0.468811483132557,0.0212124665397826,0.426386550052992,0.511236416212122,0.229054005411097,0.708568960854017
"247","InferiorFrontalGyrus","Putamen",0.5,0.002,0,0.35734791285536,0.0212124665397827,0.314922979775795,0.399772845934926,0.1175904351339,0.597105390576821
"248","Lateral_OFC","Putamen",0.5,0.002,0,0.259940905110629,0.0212124665397827,0.217515972031064,0.302365838190194,0.0201834273891688,0.499698382832089
"249","Medial_OFC","Putamen",0.5,0.002,0,0.219001244663747,0.0212124665397827,0.176576311584182,0.261426177743313,-0.0207562330577127,0.458758722385208
